"代码","名称","最大回撤","最高点至今","最低点至今"
"300014.SZ","亿纬锂能","-0.0618000000000001","-0.045","0.15115718418515"
"600801.SH","华新水泥","-0.0418894830659537","-0.0298573975044564","0.0809334657398213"
"600309.SH","万华化学","-0.0200404858299595","0","0.133695652173913"
"600585.SH","海螺水泥","-0.0430422064354369","-0.0237901586010574","0.076457399103139"
"601100.SH","恒立液压","-0.0805426027977958","-0.0288257736328953","0.0562471184877824"
"600426.SH","华鲁恒升","-0.030035335689046","0","0.0832313341493267"
"000338.SZ","潍柴动力","-0.0186846038863978","0","0.113904163393558"
"601088.SH","中国神华","-0.0359550561797756","-0.0359550561797753","0"
"601012.SH","隆基股份","-0.0320312500000002","-0.0242187500000001","0.109236234458259"
"600031.SH","三一重工","-0.0307898259705488","-0.029228855721393","0.0787836903939183"
"002798.SZ","帝欧家居","-0.133595284872298","-0.133595284872299","0"
"600048.SH","保利地产","-0.0303030303030303","-0.0147625160462131","0.0741777466759972"
"600867.SH","通化东宝","-0.213071895424837","-0.173202614379085","0.0506644518272426"
"600900.SH","长江电力","-0.0293957539466525","0","0.033090297251823"
"002271.SZ","东方雨虹","-0.0824457593688365","-0.0777120315581855","0.00515907136715388"
"600009.SH","上海机场","-0.0209506350661255","-0.00609911054637868","0.0461415006018457"
"601933.SH","永辉超市","-0.0651041666666665","-0.0182291666666666","0.0501392757660168"
"601066.SH","中信建投","-0.0312093628088428","-0.0286085825747724","0.00268456375838921"
"601398.SH","工商银行","-0.0306122448979591","-0.0238095238095237","0.00701754385964914"
"0268.HK.c","金蝶国际","-0.0738932242206731","-0.0113909882642093","0.067489232981659"
"000860.SZ","顺鑫农业","-0.0910646387832699","-0.09106463878327","0"
"000568.SZ","泸州老窖","-0.0813900320073161","-0.0799039780521263","0.00161772025883522"
"603338.SH","浙江鼎力","-0.0456016475433952","0","0.0834621329211744"
"600872.SH","中炬高新","-0.19620253164557","-0.19620253164557","0"
"601965.SH","中国汽研","-0.026281208935611","-0.0201005025125628","0.112696148359486"
"002044.SZ","美年健康","-0.107344632768362","-0.107344632768361","0"
"300285.SZ","国瓷材料","-0.0598179453836151","0","0.113877362840018"
"600887.SH","伊利股份","-0.020421393841167","-0.0188006482982173","0.0434332988624611"
"000651.SZ","格力电器","-0.0363574583758071","-0.0175775007989774","0.0839210155148096"
"600837.SH","海通证券","-0.0157932519741564","0","0.0393873085339167"
"000858.SZ","五粮液","-0.0594029850746267","-0.0464179104477612","0.013805141225008"
"000333.SZ","美的集团","-0.0498687664041995","-0.0126626192541196","0.0482504604051566"
"002373.SZ","千方科技","-0.0354857475276324","-0.0114810562571758","0.0386007237635706"
"000031.SZ","大悦城","-0.064245810055866","-0.0544692737430168","0.0104477611940297"
"2328.HK.c","中国财险","-0.0553165907914066","-0.0093149670686532","0.0486952806351191"
"600436.SH","片仔癀","-0.057834757834758","-0.0513770180436847","0.00685414776736226"
"002001.SZ","新和成","-0.0512249443207127","-0.000442086648983264","0.0615023474178402"
"300146.SZ","汤臣倍健","-0.0920554854981084","-0.0460277427490542","0.0506944444444444"
"002311.SZ","海大集团","-0.0421216848673946","-0.023060143346837","0.0211726384364821"
"300408.SZ","三环集团","-0.0294784580498866","0","0.241238317757009"
"002185.SZ","华天科技","-0.0596491228070175","-0.0147058823529411","0.25"
"300529.SZ","健帆生物","-0.225119047619048","-0.167976190476191","0.0737440467045629"
"600030.SH","中信证券","-0.0142725598526705","-0.00804289544235925","0.0368986454927605"
"600570.SH","恒生电子","-0.0702457956015523","-0.0181112548512289","0.0560734659802422"
"601888.SH","中国国旅","-0.0391158430737183","0","0.0694929543538481"
"600007.SH","中国国贸","-0.06551724137931","0","0.0990159901599015"
"002600.SZ","领益智造","-0.0752493200362647","-0.0489573889392565","0.0284313725490197"
"600183.SH","生益科技","-0.0539237176676897","0","0.126042632066728"
"300059.SZ","东方财富","-0.0297029702970297","-0.00488826815642462","0.0386297376093294"
"600519.SH","贵州茅台","-0.0938196555217833","-0.078419452887538","0.016994633273703"
"600584.SH","长电科技","-0.0777998017839446","-0.0192629815745392","0.258463191832348"
"601318.SH","中国平安","-0.0540601930721181","-0.0455423055082339","0.00900468243486618"
"600036.SH","招商银行","-0.0169167803547066","-0.00682128240109137","0.0111111111111111"
"601166.SH","兴业银行","-0.0233039875712062","-0.00414293112376996","0.0196182396606575"
"603369.SH","今世缘","-0.0601336302895323","-0.042316258351893","0.018957345971564"
"600536.SH","中国软件","-0.112232700225794","-0.0537724550898203","0.182076600837822"
"603019.SH","中科曙光","-0.0452408930669801","-0.0187675070028012","0.0778461538461539"
"000661.SZ","长春高新","-0.135551447935921","-0.109303758471965","0.0303635067712047"
"603882.SH","金域医学","-0.155379188712522","-0.0987654320987654","0.0670286072248905"
"000001.SZ","平安银行","-0.0359394703656999","-0.0163934426229508","0.0202746893394377"
"300003.SZ","乐普医疗","-0.156215921483097","-0.145583424209378","0.0126009693053313"
"601799.SH","星宇股份","-0.0744728079911209","-0.0423973362930077","0.0346564336251349"
"300760.SZ","迈瑞医疗","-0.0849187221168145","-0.074406440695349","0.0114878117119641"
"601319.SH","中国人保","-0.0504322766570606","-0.0244956772334295","0.0273141122913505"
"002475.SZ","立讯精密","-0.0648414985590778","-0.0477211796246647","0.0946070878274268"
"600763.SH","通策医疗","-0.122173501848508","-0.116241079872754","0.0067580803134184"
"002008.SZ","大族激光","-0.0525714285714286","0","0.142943305186972"
"300347.SZ","泰格医药","-0.112917398945518","-0.0553602811950791","0.0648836057454185"
"603939.SH","益丰药房","-0.121671641791045","-0.109373134328358","0.0140021750951604"
"600276.SH","恒瑞医药","-0.11978947368421","-0.10421052631579","0.0176991150442476"
"002142.SZ","宁波银行","-0.0870473537604457","-0.0522284122562674","0.0381388253241801"
"002127.SZ","南极电商","-0.0595026642984015","-0.0595026642984015","0.0632530120481927"
"600703.SH","三安光电","-0.0819092516205068","-0.0355276907001045","0.184852374839538"
"603259.SH","药明康德","-0.106910569105691","-0.0721544715447155","0.0389167045971779"
"603986.SH","兆易创新","-0.0755370348632469","0","0.333248682623326"
"603160.SH","汇顶科技","-0.12677914977849","0","0.180753454231434"
"600529.SH","山东药玻","-0.126482213438735","0","0.180995475113122"
"000043.SZ","中航善达","-0.132227700582698","-0.109816225907665","0.0258264462809918"
"300115.SZ","长盈精密","-0.0922419059254734","-0.0415300546448089","0.180349932705249"
"300015.SZ","爱尔眼科","-0.151721206969826","-0.151508712282193","0.000250501002003967"
"300601.SZ","康泰生物","-0.168335146898803","-0.0194776931447226","0.178987308648436"
"300326.SZ","凯利泰","-0.197218710493047","-0.160556257901391","0.0456692913385828"
"300661.SZ","圣邦股份","-0.180737720681565","-0.0191930458863803","0.197183098591549"
